క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
పొటము - పొడము,"పుట్టు, సంభవించు",,,,1,,,2,,,
పొటాపొటాన,"మెండుగా, అతిశయముగా",పొట్టపొయు,,2,1,,,,,,
పొట్టపోయు,తిండిపెట్టు,,,1,,,,2,,,
పొట్టపోసికొను,హీనవృత్తిచే గడుపునిండించుకొను,,,2,,,,,1,,
పొట్లు,"పురుగుపట్టి శిధిలమగు, పాడగు",,,,1,,2,,,,
పొడగ(గా)నిపొంచు,"పొడగనజేయు, చూపు, కనబఱచు",పొడగమ,,,,1,,,,,
పొడగను ,చూచు,,,,1,,,2,,,
పొడగాంచు,చూచు,,,,,,,2,1,,
పొడచూ(సూ)చు,"పొడగాంచు, చూచు",,,,1,,,2,,,
పొడచూ(సూ)పు,"కనబడు, తోచు, ప్రత్యక్షమగు",,,,1,,,2,,,
పొడ(లు)పె(వె)ట్టు,"1.దొరలు, పొరలు, 2.బోరగిలబడు",పొడ,,,2,1,,,,,
పొడమాయించు,"రూపుమాపు, చంపు, నాళముచేయు",,,,2,1,,,,,
పొడమాయు,"రూపఱు, చచ్చు, నశించు",పొడమాయు,,2,1,,3,,,,
పొడమించు,"పుట్టించు, కావించు, 2.వెలుబరించు, వెల్లడించు",,,,1,,2,3,,,
పొడము(డ్ము)-పొటము,"1.ఉదయించు, పొడచు, 2.పుట్టు, జనించు, 3.ఆవిర్భవించు, సంభవించు, 4.జరుగు, ఆగు, 5.కనబడు, తోచు, 6.ప్రకటితమగు, బయలుపడు ",పొడము,,,2,,,,1,,
పొడము తంచు-పొడతెంచు,"పుట్టు, కలుగు ",,,2,1,,,,,,
పొడవగు,"రూపొందు, మూర్తీభవించు ",,,,1,,,2,,,
పొడవడగించు,"1.పొడవడగజేయు, రూపుమాపు, చంపు, 2.పొగొట్టు, నశింపజేయు ",,,,,1,,,,,
పొడవడగు,"1.రూపుమాయు, చచ్చు, 2.చెడు, నశించు, పోవు, 3.భగ్నమగు, పాడగు  ",పొడవడగు,,2,,,1,,,,
పొడవడచు,"1.సం హరించు, చంపు, 2.చఱచు, పాడుచేయు",పొడవడంగు,,2,,,1,,,,
పొడవడు1,అగపడు,,,,1,2,,,,,
పొడవడు2,"ఔన్నత్యం చెడు, ఉక్కుచెడు, బలహీనమగు",,,,,1,2,,,,
పొడవఱు,నశించు,పొడవు,,,2,,,,1,,
పొడవుచూ(సూ)పు,"కనబడు, తోచు, ప్రత్యక్షమగు",,,1,2,,,,,,
పొడవుచే(సే)యు,"నిక్కించు, పైకెత్తు",,,1,,,,2,,,
పొడిగించు,"పొడుగుచేయు, పెంచు",పొడుగు,,,1,2,,,,,
పొడిచే(సే)యు,"చూర్ణముచేయు, నుఱుమాడు",,,,,,1,2,,,
పొడిపో(వో)సికొను,పొట్టనిండించుకొను,పొడి,,,1,,,3,2,,
పొడిబడుకొను,"శుష్కించు, నిస్సారమగు",,,,1,,2,,,,
పొడుగు,"1.ఉన్నతమగు, పెరుగు, హెచ్చు, బియ్యమువెల పొడిగినది, 2.ఉన్నతి, ఎత్తు, 3.ధైర్ఘ్యము, అయతి",,,2,,,,1,,,
పొడుచు(డ్చు),"1.గ్రుచ్చు, గ్రుచ్చిచంపు, 2.క్రుమ్ము, 3.చేధించు, నఱకు, 4.వేయు, విసరు, 5.కుట్టు, కఱచు, .క్రుక్కు, 7.చంపు, వధించు, ఆటలకాయలను చంపు, 8.పాతు, నాటు, 9.కొట్టు, మోదు, 10.ఆను, ఊను, 11.ఒరయు, రాచు, 12.ఒడ్డు, వైచు, 13. మిద్రించు, 14.పెట్టు, అనిచెప్పు, తెలుపు, 15.చేయు, 16.అపహరించు 

1.పోరు, యుద్దముచేయు, పోట్లాడు, 2. ఉదయించు, 3.పుట్టు, పొడము, 4.ఎక్కు, పాఱు
",,,,3,,,2,1,,
పొత్తుగలయు,"1.ఒకటిగావూడు, ఏకమగు, 2.సహభోజనమునకు చేరు, 3.సమానమగు",,,3,2,,,1,,,
పొత్తుగుడుచు,"1.సహభోజనము చేయు, 2.పనికివచ్చు",పొత్తు,,1,,,2,,,,
పొత్తుగొను,"కలియు, కూడు",పొత్తు,,,1,,,,2,,
పొత్తుచే(సే)యు,"1.స్నేహము చేయు, స్నేహించు, 2.కలియు, కూడు, మిళితమగు, 3.సమానమగు",పొత్తు,,1,,2,3,,,,
పొత్తుపడు,"అమరు, అనుకూలపడు",పొత్తు,,,,2,,,1,,
పొత్తుపఱుచు,"అమర్చు, అనుకూలపఱుచు",పొత్తుపడు,,,3,1,,,2,,
పొత్తు(లు)పో(వో)వు,"పాళ్లుతెగు, సరిపడు, కుదురు",,,1,2,,,,,,
పొత్తువచ్చు,"సమానమగు, సరివచ్చు",పొత్తు,,2,1,,,,,,
పొత్తు(ల)వాడు,"సమష్టిగానున్నవాడు, ఉమ్మడివాడు, సమానసంబంధము కలవాడు",,,,,,2,,1,,
పొదకలనెత్తు,పెద్దగొంతుకతో అఱచు,,,,1,,,2,,,
పొదపె(వె)ట్టు,"1.అధికముగా జెప్పికొను, చెప్పుకొను, ప్రకటించు, 2.చేయు, కావించు, 3.కూడుబెట్టు, చేర్చు",,,1,2,,,3,,,
పొదరుకొను,"గుమిగూడు, సంఘీభనించు",,,1,2,,,,3,,
పొదలా(లియా)డు,"1.ప్రబలు, అతిశయించు, 2.కలగియాడు, సంచలించితిరుగు",,,,1,,,2,,,
పొదలించు-పొదల్చు,"1.వృద్ధినొందించు, వర్ధిల్లజేయు, హెచ్చించు, 2.ఉప్పొంగించు, సంతోషపెట్టు, 3.పుట్టించు, కలిగించు, 4.కడుపు, పోజేయు, 5.కావించు, ఒనర్చు",,,2,,,,1,,,
పొదలిపుచ్చు,"దాచు, కప్పిపుచ్చు,",,,2,1,,,2,,,
పొదలు,"1.పెరుగు, వర్ధిల్లు, 2.పుట్టు, కలుగు, 3.నివసించు, ఉండు, ప్రకాశించు, ఉండు, 4.ప్రకాశించు, పొల్చు, ఒప్పు, 5.స్థూలమగు, ఉబ్బు, పొంగు, 6.ప్రబలు, అతిశయించు, 7.ఉద్రేకించు, విజృంభించు, 8.క్రేడించు, 9.వ్యాపించు, క్రమ్ము, 10.విఱ్ఱవీగు, మిక్కిలి గర్వించు, 11.తోచు, కనబడు, 12.ఫలించు, 13.అగు, ప్రవర్తిల్లు",,,2,1,,,,,,
పొదలుకొను,"1.మెండుకొను, అతిశయించు, 2.పొంగు, స్థూలమగు",,,,,,1,,,,
పొదల్చు-పొదలించు,"పొదలజేయు, వర్ధిల్లజేయు",,,,2,,1,,,,
పొదుపు-ఒదవు,"1.కలగు, సంభవించు, 2.ఎసగు, ఒప్పు",,,,2,,1,,,,
పొదిగూడు,గుంపుగూడు,,,2,1,,,,,,
పొదిగొను2,"చుట్టుకొను, పరివేష్టించు",,,,,,1,,,,
పొదురించు,"పుష్పింపజేయు, పూచునట్లుచేయు",పొదురు,,,2,,,,1,,
పొదివించు,"పొదువజేయు, వ్యాపింపజేయు",పొదుపు,,4,2,,,3,1,,
పొదివిరియు,"1.గుంపు చెడు, విడిపోవు, చెదరు, 2.బిగిచెడు, ధైర్యహీనమగు",,,,1,,,2,,,
పొదుగుచేయు,ఈనబోవుసమయమున పశువు పెద్దపుదుగు కలదియగు,,,,1,,2,,,,
"పొదుగు-పొదువు1, ఒదుగు","1.క్రమ్ము, ఆవరించు, 2. కప్పు, 3.(రర్నములు) ఖైతముచేయు, చెక్కు.   

కలియు, పైబడు",,,,1,,2,,,,
పొదుపుచేయు,"చక్కబఱుచు, పొందువఱుచు",,,1,,,,,2,,
పొదురు,"పూచు, పుష్పించు",,,1,,,,,2,,
పొదవ(గ)బట్టు,"గట్టిగాబట్టు, బిగియబట్టు",,,,1,,,,2,,
పొదువు1 - పొదుగు,"1.కప్పు, అచ్చాదించు, క్రమ్ము, ఆవహించు, 2.చుట్టుకొను, పరిచేష్టించు, 3.అఱుము, ఆక్రమించు, లోపల ఉంచు, మాటుపఱుచు, 5.చెరువు, చెక్కుకొను, గట్టిగా గూర్చు, చేర్చు, 7.(యుద్ధమున) మార్కిను, తలపడు, 8.స్పృశించు, తాకు, 9.పట్టుకొను, 10. విన్యసించు, ఉంచు, 11.పక్షులు పిల్లలను జేయుటకు గ్రుడ్లనుఱెక్కలతో గప్పు, 12.(రత్నములు లోనగువాని) ఖచించు, చెక్కు, 13. చేరదీయు, వశపఱచుకొను 14.అనునయించు, బ్రతిమాలు 15.అనుకరించు.   

పుదుగు, 1.కవియు, పైబడు, పొదవు, ఇదవు, కలుగు, పుట్టు, 3.క్రమ్ము, వ్యాపించు",,,,1,,,,2,,
